"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jan 29 14:53:54 UTC 2025","Wed Jan 29 14:53:55 UTC 2025","376","tests","stellar_test","","","","Проверка получения 'success'","Проверка получения статуса ответа ingredients"
"passed","Wed Jan 29 14:53:55 UTC 2025","Wed Jan 29 14:53:56 UTC 2025","442","tests","stellar_test","","","","Проверка успешности регистрации пользователя","Проверка регистрации юзера"
"passed","Wed Jan 29 14:53:55 UTC 2025","Wed Jan 29 14:53:55 UTC 2025","458","tests","stellar_test","","","","Проверка успешности регистрации пользователя","Проверка регистрации юзера"
"passed","Wed Jan 29 14:53:54 UTC 2025","Wed Jan 29 14:53:54 UTC 2025","378","tests","stellar_test","","","","Проверка успешности получения ингредиентов","Проверка получения ингредиентов"
